name,kind,K,Fp,KxFp,seed,epoch,loss,train_acc,val_acc,test_acc,sec_per_epoch,params
GAT_K1_F8,GAT,1,8,8,0,1,1.9463850259780884,0.3142857142857143,0.284,0.255,0.0381179170217365,11565
GAT_K1_F8,GAT,1,8,8,0,2,1.9411373138427734,0.5,0.382,0.364,0.016180167003767565,11565
GAT_K1_F8,GAT,1,8,8,0,3,1.9399985074996948,0.6785714285714286,0.568,0.55,0.015756750013679266,11565
GAT_K1_F8,GAT,1,8,8,0,4,1.9357631206512451,0.7,0.578,0.572,0.01601958301034756,11565
GAT_K1_F8,GAT,1,8,8,0,5,1.9320086240768433,0.7071428571428572,0.58,0.589,0.015231375000439584,11565
GAT_K1_F8,GAT,1,8,8,0,6,1.927735686302185,0.7714285714285715,0.598,0.601,0.015533459023572505,11565
GAT_K1_F8,GAT,1,8,8,0,7,1.9258041381835938,0.8357142857142857,0.644,0.638,0.01511716700042598,11565
GAT_K1_F8,GAT,1,8,8,0,8,1.9218024015426636,0.85,0.642,0.653,0.016913792002014816,11565
GAT_K1_F8,GAT,1,8,8,0,9,1.9177075624465942,0.8642857142857143,0.65,0.654,0.015740167000330985,11565
GAT_K1_F8,GAT,1,8,8,0,10,1.9153584241867065,0.8857142857142857,0.65,0.671,0.016691832977812737,11565
GAT_K1_F8,GAT,1,8,8,0,11,1.9124029874801636,0.8857142857142857,0.646,0.671,0.016107917006593198,11565
GAT_K1_F8,GAT,1,8,8,0,12,1.908260464668274,0.9,0.66,0.67,0.016737875004764646,11565
GAT_K1_F8,GAT,1,8,8,0,13,1.9067317247390747,0.8928571428571429,0.66,0.659,0.01594833398121409,11565
GAT_K1_F8,GAT,1,8,8,0,14,1.9069702625274658,0.8857142857142857,0.67,0.656,0.01666950000799261,11565
GAT_K1_F8,GAT,1,8,8,0,15,1.9009443521499634,0.8928571428571429,0.682,0.659,0.01593895797850564,11565
GAT_K1_F8,GAT,1,8,8,0,16,1.8941770792007446,0.8857142857142857,0.684,0.667,0.016506208019563928,11565
GAT_K1_F8,GAT,1,8,8,0,17,1.894923210144043,0.9,0.69,0.679,0.01613287499640137,11565
GAT_K1_F8,GAT,1,8,8,0,18,1.8896218538284302,0.9,0.702,0.686,0.01622412499273196,11565
GAT_K1_F8,GAT,1,8,8,0,19,1.8854215145111084,0.9142857142857143,0.696,0.697,0.015455332992132753,11565
GAT_K1_F8,GAT,1,8,8,0,20,1.876770257949829,0.9142857142857143,0.696,0.709,0.01619345901417546,11565
GAT_K1_F8,GAT,1,8,8,0,21,1.8737531900405884,0.9214285714285714,0.708,0.721,0.015605291991960257,11565
GAT_K1_F8,GAT,1,8,8,0,22,1.8724231719970703,0.9214285714285714,0.712,0.716,0.016103125002700835,11565
GAT_K1_F8,GAT,1,8,8,0,23,1.8613194227218628,0.9214285714285714,0.712,0.711,0.015654749993700534,11565
GAT_K1_F8,GAT,1,8,8,0,24,1.8613102436065674,0.9142857142857143,0.708,0.701,0.016063209011917934,11565
GAT_K1_F8,GAT,1,8,8,0,25,1.8596546649932861,0.9142857142857143,0.694,0.694,0.015368749998742715,11565
GAT_K1_F8,GAT,1,8,8,0,26,1.8499979972839355,0.9071428571428571,0.688,0.68,0.015955167007632554,11565
